as_of_date,pair,tenor,quote_type,value,ticker,field,source,snapped_at
2026-09-17,USDZAR,2W,RR25,2.145,USDZAR25R2W BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,3M,ATM,10.915,USDZARV3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,3M,BF10,1.005,USDZAR10B3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,3M,BF25,0.2975,USDZAR25B3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,3M,RR10,4.045,USDZAR10R3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,3M,RR25,2.05,USDZAR25R3M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,6M,ATM,11.225,USDZARV6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,6M,BF10,0.9725,USDZAR10B6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,6M,BF25,0.2925,USDZAR25B6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,6M,RR10,3.9625,USDZAR10R6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,6M,RR25,1.9675,USDZAR25R6M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,9M,ATM,11.625,USDZARV9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,9M,BF10,0.9975,USDZAR10B9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,9M,BF25,0.3,USDZAR25B9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,9M,RR10,3.8675,USDZAR10R9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,9M,RR25,1.9125,USDZAR25R9M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,ON,ATM,10.2775,USDZARVON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,ON,BF10,0.925,USDZAR10BON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,ON,BF25,0.29,USDZAR25BON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,ON,RR10,3.67,USDZAR10RON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,USDZAR,ON,RR25,1.9775,USDZAR25RON BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,1M,ATM,22.0975,XAUUSDV1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,1M,BF10,2.1475,XAUUSD10B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
2026-09-17,XAUUSD,1M,BF25,0.5825,XAUUSD25B1M BGN Curncy,PX_LAST,BBG_BDP,2026-09-17T17:00:00-04:00
