as_of_date,instrument_id,settle_date,mark_type,value,source,snapped_at
2026-09-02,USDTRY,2026-09-16,FWD_OUTRIGHT,48.78641428571428,BBG_INTERP,2026-09-02T17:00:00-04:00
2026-09-02,USDTWD,2026-09-02,SPOT,31.752,BBG_BFXFORWARD,2026-09-02T17:00:00-04:00
2026-09-02,USDZAR,2026-09-02,SPOT,16.051,BBG_BFXFORWARD,2026-09-02T17:00:00-04:00
2026-09-02,USDZAR,2026-09-16,FWD_OUTRIGHT,16.0647,BBG_INTERP,2026-09-02T17:00:00-04:00
2026-09-02,XAUUSD,2026-09-02,SPOT,4381.68,BBG_BFXFORWARD,2026-09-02T17:00:00-04:00
2026-09-03,AUDUSD,2026-09-03,SPOT,0.7201,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,AUDUSD,2026-09-04,FWD_OUTRIGHT,0.7201,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,AUDUSD,2026-09-16,FWD_OUTRIGHT,0.7200198571428571,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,AUDUSD,2026-09-24,FWD_OUTRIGHT,0.7199439999999999,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,AUDUSD,2026-09-28,FWD_OUTRIGHT,0.7199019999999999,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,ESU6 Index,2026-09-18,FUTURE_PX,7754.75,BBG_BDH,2026-09-03T17:00:00-04:00
2026-09-03,EURSEK,2026-09-03,SPOT,11.0933,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,EURSEK,2026-09-25,FWD_OUTRIGHT,11.089944374999998,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,EURSEK,2026-11-25,FWD_OUTRIGHT,11.07791120689655,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,EURSEK,2026-11-27,FWD_OUTRIGHT,11.07755548275862,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,EURUSD,2026-09-03,FWD_OUTRIGHT,1.1626,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,EURUSD,2026-09-03,SPOT,1.1626,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,EURUSD,2026-09-16,FWD_OUTRIGHT,1.1629622857142858,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,EURUSD,2026-09-24,FWD_OUTRIGHT,1.163303375,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,GBPUSD,2026-09-03,SPOT,1.3525,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,GBPUSD,2026-09-16,FWD_OUTRIGHT,1.3524857142857143,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDBRL,2026-09-03,SPOT,5.1087,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDCAD,2026-09-03,SPOT,1.3794,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDCAD,2026-09-16,FWD_OUTRIGHT,1.378712142857143,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDCHF,2026-09-03,FWD_OUTRIGHT,0.8075,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDCHF,2026-09-03,SPOT,0.8075,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDCHF,2026-09-08,FWD_OUTRIGHT,0.8075,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDCHF,2026-09-16,FWD_OUTRIGHT,0.8068128571428571,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDHKD,2026-09-03,SPOT,7.8398,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDHKD,2026-09-08,FWD_OUTRIGHT,7.8398,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDIDR,2026-09-03,SPOT,17660.0,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDJPY,2026-09-03,FWD_OUTRIGHT,155.81,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDJPY,2026-09-03,SPOT,155.81,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDJPY,2026-09-04,FWD_OUTRIGHT,155.81,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDJPY,2026-09-08,FWD_OUTRIGHT,155.81,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDJPY,2026-09-16,FWD_OUTRIGHT,155.7109,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDJPY,2027-03-01,FWD_OUTRIGHT,153.73100111111114,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDJPY,2027-03-03,FWD_OUTRIGHT,153.70697222222225,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDKRW,2026-09-03,SPOT,1357.0,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDKRW,2026-09-16,FWD_OUTRIGHT,1356.8613043478263,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDKRW,2026-09-21,FWD_OUTRIGHT,1356.7678260869566,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDKRW,2026-09-28,FWD_OUTRIGHT,1356.6369565217392,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDMXN,2026-09-03,SPOT,16.9212,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDMXN,2026-09-08,FWD_OUTRIGHT,16.9212,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDMXN,2026-09-17,FWD_OUTRIGHT,16.93317,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDNOK,2026-09-03,SPOT,9.2943,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDNOK,2026-09-08,FWD_OUTRIGHT,9.2943,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDNOK,2026-09-16,FWD_OUTRIGHT,9.295392857142858,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDNOK,2026-09-21,FWD_OUTRIGHT,9.295982142857142,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDSEK,2026-09-03,SPOT,9.5407,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDSEK,2026-09-16,FWD_OUTRIGHT,9.536538142857143,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDSGD,2026-09-03,SPOT,1.2673,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDSGD,2026-09-16,FWD_OUTRIGHT,1.266651285714286,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDTRY,2026-09-03,SPOT,48.3547,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDTRY,2026-09-16,FWD_OUTRIGHT,48.84392142857143,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDTWD,2026-09-03,SPOT,31.774,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDZAR,2026-09-03,SPOT,15.9947,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-03,USDZAR,2026-09-08,FWD_OUTRIGHT,15.9947,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,USDZAR,2026-09-16,FWD_OUTRIGHT,16.003228571428572,BBG_INTERP,2026-09-03T17:00:00-04:00
2026-09-03,XAUUSD,2026-09-03,SPOT,4472.92,BBG_BFXFORWARD,2026-09-03T17:00:00-04:00
2026-09-04,AUDUSD,2026-09-04,FWD_OUTRIGHT,0.7203,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,AUDUSD,2026-09-04,SPOT,0.7203,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,AUDUSD,2026-09-16,FWD_OUTRIGHT,0.7202114285714286,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,AUDUSD,2026-09-24,FWD_OUTRIGHT,0.720133125,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,AUDUSD,2026-09-28,FWD_OUTRIGHT,0.7200913750000001,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,ESU6 Index,2026-09-18,FUTURE_PX,7722.0,BBG_BDH,2026-09-04T17:00:00-04:00
2026-09-04,EURSEK,2026-09-04,SPOT,11.1146,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,EURSEK,2026-09-25,FWD_OUTRIGHT,11.111231499999999,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,EURSEK,2026-11-25,FWD_OUTRIGHT,11.09912548275862,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,EURSEK,2026-11-27,FWD_OUTRIGHT,11.098774793103447,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,EURUSD,2026-09-04,SPOT,1.1614,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,EURUSD,2026-09-16,FWD_OUTRIGHT,1.1617628571428573,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,EURUSD,2026-09-24,FWD_OUTRIGHT,1.1621085,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,GBPUSD,2026-09-04,SPOT,1.3519,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,GBPUSD,2026-09-16,FWD_OUTRIGHT,1.3518855714285716,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDBRL,2026-09-04,SPOT,5.1292,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,USDCAD,2026-09-04,SPOT,1.3837,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,USDCAD,2026-09-16,FWD_OUTRIGHT,1.3832401428571428,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDCHF,2026-09-04,SPOT,0.8099,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,USDCHF,2026-09-08,FWD_OUTRIGHT,0.8099,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDCHF,2026-09-16,FWD_OUTRIGHT,0.8092062857142857,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDHKD,2026-09-04,SPOT,7.8405,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,USDHKD,2026-09-08,FWD_OUTRIGHT,7.8405,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDIDR,2026-09-04,SPOT,17637.0,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,USDJPY,2026-09-04,FWD_OUTRIGHT,156.26,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,USDJPY,2026-09-04,SPOT,156.26,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,USDJPY,2026-09-08,FWD_OUTRIGHT,156.26,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDJPY,2026-09-16,FWD_OUTRIGHT,156.1597857142857,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDJPY,2027-03-01,FWD_OUTRIGHT,154.16181666666665,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDJPY,2027-03-03,FWD_OUTRIGHT,154.13758333333334,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDKRW,2026-09-04,SPOT,1351.65,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,USDKRW,2026-09-16,FWD_OUTRIGHT,1351.5634782608697,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDKRW,2026-09-21,FWD_OUTRIGHT,1351.4808695652175,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDKRW,2026-09-28,FWD_OUTRIGHT,1351.3652173913044,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDMXN,2026-09-04,SPOT,16.8864,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,USDMXN,2026-09-08,FWD_OUTRIGHT,16.8864,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDMXN,2026-09-17,FWD_OUTRIGHT,16.899571428571427,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDNOK,2026-09-04,SPOT,9.3078,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,USDNOK,2026-09-08,FWD_OUTRIGHT,9.3078,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDNOK,2026-09-16,FWD_OUTRIGHT,9.308915428571428,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDNOK,2026-09-21,FWD_OUTRIGHT,9.309507571428572,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDSEK,2026-09-04,SPOT,9.574,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,USDSEK,2026-09-16,FWD_OUTRIGHT,9.569822857142857,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDSGD,2026-09-04,SPOT,1.2666,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,USDSGD,2026-09-16,FWD_OUTRIGHT,1.2659541428571428,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDTRY,2026-09-04,SPOT,48.438,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
2026-09-04,USDTRY,2026-09-16,FWD_OUTRIGHT,48.754463,BBG_INTERP,2026-09-04T17:00:00-04:00
2026-09-04,USDTWD,2026-09-04,SPOT,31.64,BBG_BFXFORWARD,2026-09-04T17:00:00-04:00
